Charity_Legal_Name,Charity_Website,Town_City,State,Advancing_Education,Promoting_or_protecting_human_rights,Advancing_social_or_public_welfare,Children,Families,Females,Financially_Disadvantaged,Males,People_at_risk_of_homelessness,email,contact
Ha'Tzofim Australia Inc,hatzofim.org.au,Darlinghurst,New South Wales,Y,,Y,Y,,,,,,phersh@logicca.com.au,
Holy Eucharist And St Mary'S Malvern East,www.cam.org.au/malverneast,Malvern East,VIC,,,,Y,Y,,,,,malverneast@cam.org.au,(03) 9571 2407
Gospel Baptist Church Australia,,Mitcham,Victoria,,,,,,,,,,gospelbca@gmail.com,0411 586 884
Lyric Opera Of Melbourne Inc,https://www.lyricopera.com.au/,Collins Street West,Victoria,,,,,,,,,,admin@lyricopera.com.au,414781851
Safeheart Foundation Ltd,https://safeheart.mbhf.com.au/,Bella Vista,New South Wales,,,Y,Y,Y,Y,Y,Y,Y,brett@makebullyinghistory.org,
Health Assist Limited,https://healthassist.org.au,Vermont South,Victoria,,,,,,Y,Y,Y,,admin@healthassist.org.au,03 8805 5044
Australian Friends Of Boys Town Jerusalem Limited,www.btj.org.au,,,Y,,Y,,,,,,,phersh@logicca.com.au,
Cornella Local Area Plan Implementation Committee,,Burramboot,Victoria,,,,Y,,Y,,Y,,cfurphy@me.com,
Kalbarri Kindergarten Inc.,,Portland,Victoria,Y,,,,Y,,,,,kalbarrikindy@gmail.com,03 55292584
Centre For Academic Research And Education Limited,,,,,,,,Y,Y,,Y,,,
Church Mission Enterprises Limited,https://www.churchesofchrist.org.au,Fairfield,VIC,,,,,,,,,,ccvt@churchesofchrist.org.au,394888800
Intertwine Pty Ltd,intertwine.net.au,Templestowe Lower,,Y,,Y,Y,,Y,Y,,Y,admin@intertwine.org.au,402148489
Our Lady Help Of Christians Primary School East Warrnambool Victoria,,Warrnambool East,VIC,Y,,,Y,Y,Y,Y,Y,,principal@olhcwarrnambool.catholic.edu.au,
Bass Coast Uc Ltd,www.cucbasscoast.edu.au,Wonthaggi,Victoria,Y,,,Y,,,,,,andrea.evansmccall@cucbasscoast.edu.au,
Barngarla: Help Us Have A Say On Kimba Pty Ltd,,Adelaide,South Australia,,,,,,,,,,barngarlacontact@gmail.com,488122070
"Centre For Spirituality, Wellbeing And Health Limited",www.centreforspiritualityandhealth.org.au,Hawthorn,VIC,Y,,,,Y,,,,,richard.siegersma@centreforspiritualityandhealth.org.au,413947301
One Hundred & Seventy Nine Napier St Hostel Assoc Inc,www.nsacs.org.au,South Melbourne,Victoria,,,Y,,,,,,,care@nsacs.org.au,03 9696 9229
Khalsa Shaouni Helping Hand Ltd,,,,,,,,,,Y,,Y,khalsashaouni@gmail.com,
Hope East Church Australia,www.hopeeastchurch.com,Kilmore,Victoria,,,,Y,Y,Y,Y,Y,Y,Info@hopeeastchurch.com,408899257
Vasudeva Kriya Yoga Mandir Ltd,www.vasudevakriyayoga.com,Mount Waverley,Victoria,,,Y,,,,Y,,Y,vasudevakriyayoga@gmail.com,410527904
Sisters Of St Paul De Chartres Australia,,Boronia Heights,QLD,,,,Y,Y,Y,Y,Y,,,
Warrnambool Church Of Christ,www.gatewaycoc.com.au,Warrnambool,Victoria,,,,Y,,,,,,office@gatewaycoc.com.au,
Heidelberg Christian Centre Inc,http://pursuit.org.au,Bundoora,Victoria,,,,Y,Y,,,,,info@pursuit.org.au,
The Trustee For Giles Pannon Dalgliesh Fund,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Breakwater Preschool Centre Inc,www.bethanykindergartens.org.au,Thomson,Victoria,Y,,,,,,,,,breakwater.kin@kindergarten.Vic.gov.au,
Greek Orthodox Archdiocese Of Aust East Keilor Ladies Auxiliary,,Keilor East,Victoria,,,,,,,,,,father@panagiasoumela.org.au,
Rabbinical Council Of Victoria Inc,www.rcv.org.au,Balaclava,Victoria,,,,,,,,,,executive@rcv.org.au,
Peninsula And Chelsea Kindergarten Teachers Association Inc,https://www.facebook.com/packta1/,,,Y,,,,,,,,,packta@live.com.au,
East Brunswick Kindergarten And Childcare Centre Incorporated,www.ebkcc.org.au,Brunswick East,Victoria,,,,,,,,,,east.brunswick.childcare@kindergarten.vic.gov.au,03 9489 3037
St Luke'S Anglican Church Cockatoo,www.stlukesatcockatoo.com.au,Cockatoo,Victoria,,,,,,,,,,stlukesatcockatoo@gmail.com,
The Trustee For Montgomery Foundation,,Malvern,Victoria,,,,,,,,,,montyfarm1@bigpond.com,
Jeparit Agricultural And Pastoral Society Inc,,,,,,,,Y,,,,,lukeyr@hotmail.com,
Divine Seed Fellowship Inc,,Shepparton,Victoria,,,,Y,Y,Y,,Y,,lulerhedieudonne@yahoo.com,434639027
Korumburra Rsl Sub-Branch,,Korumburra,Victoria,,,Y,,,,,,,anne.davies@leongatha-rsl.com.au,
Anglican Parish Of Yarrawonga,www.yarrawongaanglicanscom,Yarrawonga,Victoria,,,,Y,Y,Y,Y,Y,Y,yarraang@bigpond.net.au,
The Trustee For The Grail Movement Of Australia,www.grailmovement.com.au,Mount Eliza,Victoria,,,,,Y,Y,Y,Y,,info@grailmovement.com.au,0405 495 366
Yesodei Hatorah Yeshiva Inc.,,,,,,,Y,,,,,,mklein@yht.vic.edu.au,395313203
Clifton Hill Baptist Church,https://communitychurchofstmark.org/,Clifton Hill,Victoria,,,,,Y,,,,,ccsmark@hotmail.com,
Lowther Hall Library Trust,lowtherhall.vic.gov.au,Essendon,Victoria,Y,,,Y,,Y,,,,GerdtzM@lowtherhall.vic.edu.au,
Relationships Australia Inc,http://relationships.org.au,Kingston,Australian Capital Territory,,,Y,Y,Y,Y,Y,Y,,natoffice@relationships.org.au,
Rights Employment Accommodation Leisure Real Inc,www.realfriends.org.au,Doncaster East,Victoria,,,,,,,,,,vimpani@bigpond.net.au,
The Trustee For Maurice Goldstein Charitable Trust,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Roman Catholic Trusts Corp For The Diocese Of Ballarat,www.ballarat.catholic.org.au,Ballarat,VIC,,,,,,,,,,andrew.jirik@ballarat.catholic.org.au,61353377126
Casr Patient Support,https://casr.com.au,Belconnen,Australian Capital Territory,,,,,,,,,,nicholas.love@casr.com.au,400505875
The Big Umbrella Incorporated,https://thebigumbrella.org,Brunswick,Victoria,,,,,Y,Y,Y,Y,Y,,
Mobility And Accessibility For Children In Australia Limited,https://www.macahub.org,Kew East,Victoria,,,Y,Y,Y,,,,,helen@macahub.org,419578848
Windarring Limited,http://www.windarring.org.au/,Kyneton,Victoria,,,,Y,,,,,,admin@windarring.org.au,
Hastings Assembly Of God Inc,,Hastings,Victoria,,,,,,,,,,yvette@connectcc.com.au,03 59797211
Oxfam At Monash,,,,,,Y,Y,Y,,Y,,Y,oxfam@monashclubs.org,
Australian-Asian Association Of Victoria Scholarship Fund,http://www.aaavic.asn.au/,Carlton,Victoria,Y,,,,,,,,,info@aaavic.asn.au,430038050
The Miller Foundation,,Hawthorn East,Victoria,,,,,,,,,,millerfoundation@hotmail.com,
Shree Jalaram Mandal Victoria (Inc),,Cranbourne East,Victoria,,,,,Y,Y,,Y,,shreejalarammandalvictoria@gmail.com,451719161
Seymour Baptist Fellowship,seymourbaptistchurch.org.au,Seymour,Victoria,,,,Y,Y,Y,Y,Y,Y,seymourbaptistchurch@gmail.com,03 5799 1000
The Trustee For Brougham Family Foundation,,,,,,,,,,,,,,
Uca - Camperdown,https://uccsm.webs.com/,Camperdown,VIC,,,,Y,Y,Y,Y,Y,Y,jerobinson@tca-online.com.au,
Terry And Maureen Hopkins Foundation,,Adelaide,SA,,,,,,,,,,philanthropy@aetlimited.com.au,08 8127 1905
Sunbury Neighbourhood House Inc,http://sunburyhouse.com.au,Sunbury,Victoria,,,Y,Y,Y,,,,,manager@sunburyhouse.com.au,(03) 9740 6978
The Basin Community House Inc,www.thebasincommunityhouse.org.au,The Basin,,,,,,Y,Y,Y,Y,Y,info@tbch.org.au,
Pigeons Projects Ltd,www.100storybuilding.org.au,Footscray,Victoria,,,,Y,,,Y,,,info@100storybuilding.org.au,396890420
Mount Evelyn Presbyterian Church,mtevelynpc.org.au,Mount Evelyn,VIC,,,,Y,Y,Y,Y,Y,Y,info@mtevelynpc.org.au,
Goulburn Murray Lutheran Parish,,Shepparton,Victoria,,,,,Y,Y,,Y,,goulburn.murray.lutheran.parish@gmail.com,423764945
Gethsemane Charity Incorporated,https://www.facebook.com/groups/314458585772512/,Cranbourne,Victoria,,,Y,Y,Y,Y,Y,Y,Y,kerriganlabrooy@bigpond.com,404875647
Talbot Action Incorporated,,Talbot,Victoria,,,,Y,Y,Y,Y,Y,,graham@epost.net.au,404350353
Anti-Violence Project Of Victoria Inc,www.antiviolence.info,Flinders Lane,Victoria,,,Y,,,,,,,vicavp@antiviolence.info,
St Brendan'S School Coragulac,,Coragulac,VIC,Y,,,Y,Y,Y,Y,Y,,principal@sbcoragulac.catholic.edu.au,
Follow Baptist Church,follow.church,Officer,Victoria,,,,Y,Y,Y,Y,Y,Y,accounts@follow.church,417566648
Autism Spectrum Australia (Aspect),www.autismspectrum.org.au,Chatswood,New South Wales,,,Y,Y,Y,,,,,mferos@autismspectrum.org.au,1800 277328
The Diocese Of The Armenian Church Of Australia & New Zealand (Properties) Ltd,,Chatswood,New South Wales,,,,Y,Y,,,,,sarkism1@optusnet.com.au,
The Camberwell Grammar School,http://www.cgs.vic.edu.au,Canterbury,Victoria,Y,,,Y,,,,Y,,businessmanager@cgs.vic.edu.au,
Preshil The Margaret Lyttle Memorial School.,https://www.preshil.vic.edu.au/,Kew,Victoria,Y,,,Y,,Y,,Y,,preshil@preshil.vic.edu.au,
Victorian Welfare Association,vwa.net.au,Glen Iris,Victoria,,,,,,,,,,accounts@vwa.net.au,
Australian Lithuanian Foundation,,North Melbourne,Victoria,,,,Y,Y,Y,,Y,,asbalbata@bigpond.com,422633451
Castlemaine & Maldon Railway Preservation Society,www.vgr.com.au,Castlemaine,VIC,,,,,Y,,,,,info@vgr.com.au,
St Michael'S Grammar School,http://www.stmichaels.vic.edu.au,St Kilda,Victoria,Y,,,Y,,,,,,business@stmichaels.vic.edu.au,03 8530 3200
Grow,www.grow.org.au,Holland Park,QLD,,,Y,Y,,Y,,Y,,national@grow.org.au,733977629
The Trustee For The Mona Georgina Harris Perpetual Charitable Trust,,Balwyn,Victoria,,,,,Y,Y,Y,Y,Y,sunnione@bigpond.net.au,
Waverley Community Learning Centre Inc,http://www.wclc.org.au,Mount Waverley,Victoria,,,,Y,Y,Y,Y,Y,,,
The Potters House Christian Fellowship Geelong,https://pottershousegeelong.com.au/,Bell Park,Victoria,,,,Y,Y,Y,Y,Y,Y,shane.listing1@gmail.com,
Interserve Development Limited,https://www.interserve.org.au,Bayswater,VIC,,,,,,Y,,Y,Y,,
Churchill & District News,http://cdnews.com.au,Churchill,Victoria,,,,Y,,,,,,cdnews3842@gmail.com,
Concern Australia Ministry Inc.,www.concernaustralia.org.au,Sunshine West,Victoria,,,,Y,,,,,,info@concernaustralia.org.au,394702972
Melbourne Fatima Centre,https://fatimasupplies.com.au/,Murrumbeena,Victoria,,,,,Y,,,,,,
Baptcare Ltd,www.baptcare.org.au,Camberwell,Victoria,,,Y,Y,Y,,,,,companysecretary@baptcare.org.au,
Hawthorn Presbyterian Church,www.hawthornchurch.org,Hawthorn,Victoria,,,,,,,,,,g.nicholson02@gmail.com,
Australian College Of Rural And Remote Medicine,www.acrrm.org.au.au,Brisbane City,Queensland,Y,,,,,,,,,acrrm@acrrm.org.au,
Kyabram Hospital Auxilliary,,Kyabram,Victoria,,,,,,,,,,,
Re-Engineering Australia Foundation Ltd,www.rea.org.au,Seven Hills,New South Wales,Y,,,Y,,,,,,michael.myers@rea.org.au,02 96342144
Power Assist,www.powerassist.org.au,Derrinal,victoria,,,,,,,,,,sally@theduncans.net.au,
The Amoha Foundation,,Blackburn,Victoria,,,Y,,,,,,,pat@parisfinancial.com.au,
Lighthouse Foundation,www.lighthousefoundation.org.au,Cremorne,Victoria,,,,Y,,Y,,,Y,astrachan@packhorse.net.au,1800078224
The Trustee For Community Enterprise Charitable Fund,www.communityenterprisefoundation.com.au,Bendigo,VIC,,,,,Y,,,,,corporatesecretariat@bendigoadelaide.com.au,
Transfamily Incorporated,https://transfamily.org.au/,Carlton,Victoria,,,Y,,,,,,,transfamilyvictoria@gmail.com,407946242
The Trustee For Melb Rotary Club Fund,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Rex Theatre Museum Ltd,http://www.rextheatre.org.au,Charlton,Victoria,,,,Y,Y,Y,Y,Y,,,
Nhill Lutheran School,http://nls.vic.edu.au,Nhill,Victoria,Y,,,Y,,,,,,,
Crossculture Church Of Christ Inc,http://crossculture.net.au/,Melbourne,Victoria,,,,Y,Y,Y,Y,Y,Y,admin@crossculture.net.au,396239199
Dingee Bush Nursing Centre Incorporated,dingeebushnursingcentre.com.au,Dingee,VIC,,,,,,Y,,Y,,admin@dbnc.com.au,
Hamerkaz Shelanu Incorporated,www.hamerkazshelanu.com.au,Elsternwick,Victoria,,,,Y,Y,,,,,motty@hs.org.au,03 9524 7700
Professor Caroline Taylor Foundation,,,,Y,,,Y,Y,Y,Y,Y,Y,,
Insight Education Centre For The Blind And Vision Impaired,,Berwick,Victoria,Y,,,Y,,,,,,alan.lachman@insightvision.org.au,
Melbourne Indigenous Transition School,www.mits.vic.edu.au,Richmond,VIC,,,,Y,,,,,,accounts@mits.vic.edu.au,03 9429 3220
Eastern Area Multiple Birth Association Inc.,eamba.amba.org.au,Nunawading,Victoria,,,,Y,Y,,,,,president@eamba.amba.org.au,
Chapter Seven Limited,www.theretreat.org.au,Mitcham,Victoria,,Y,Y,,Y,,,,,MTCATHEDRAL@GMAIL.COM,
Merri Common Equity Rentalhousing Co-Operative Ltd,,Northcote,VIC,,,,,,,,,,ladysomalia@yahoo.com.au,
The Biography Program,www.beyondwords.org.au,Camberwell,Victoria,,,,,,,,,,info@thebiographyprogram.org.au,0403 771 571
Acf - Australian Care Foundation Limited,http://www.australiancarefoundation.org.au,Auburn,New South Wales,,,Y,,,,,,Y,ceo@australiancarefoundation.org.au,1300866922
Australians Detained Abroad Limited,http://australiansdetainedabroad.org,,,,Y,,,,,,,,,
Hartley Ridge/Singleton Preschool Association Incorporated,singletonpreschool.wix.com/singleton,Endeavour Hills,VIC,Y,,,,Y,,,,,singletonpreschool@gmail.com,03 9706 1976
Lakes Entrance Aboriginal Health Association Inc,,,,,,,Y,Y,Y,,Y,Y,paulam@leaha.org.au,
Christian Science Committee On Publication Victoria,,Wembley,Western Australia,,,,,,,,,,s-wau@compub.org,426610300
Ballarat Mechanics Institute Foundation,www.ballaratmi.org.au,Ballarat Central,Victoria,,,,,,Y,,Y,,library@ballaratmi.org.au,353045700
Live For Lily Foundation,www.liveforlily.org.au,Ascot Vale,Victoria,,,,Y,,,,,,info@liveforlily.org.au,392866918
Daarul Quraan Victoria,,Bell Park,Victoria,Y,,Y,Y,,Y,,Y,,daarulquraanvic@gmail.com,416757490
Church Of Hope Inc,www.coh.org.au,Narre Warren,Victoria,,,,,,Y,Y,Y,Y,palmerd1@optusnet.com.au,
The Trustee For The Hugh D T Williamson Foundation Trust,,Melbourne,VIC,,,,,,,,,,charitableadmin@eqt.com.au,
Birchip Rsl Sub-Branch Patriotic Fund,,Melbourne,VIC,,,Y,,,,,,,charity@rslvic.com.au,
Mindful Makings Inc,www.mindfulmakings.org,Dingley Village,Victoria,,,Y,,,Y,Y,Y,Y,mindful_makings@outlook.com,409322099
Melbourne Tramcar Preservation Association Inc.,mtpa.com.au,Haddon,Victoria,,,,Y,Y,Y,,Y,,mtpa@vtown.com.au,
The Trustee For Fonda Family Charitable Foundation,,,,,,,,,,Y,,,judyfeiglin@me.com,03 99116000
St John'S Lutheran Church Geelong,https://www.stjohnsgeelong.org.au/,,,,,,,Y,,,,Y,stjohns.geelong.vic@lca.org.au,
Homily Fellowship Wesleyan Methodist Church,www.homilyfellowship.com,Templestowe Lower,Victoria,,,,,Y,Y,,Y,,homilyfellowship@gmail.com,414607715
